Name,Age,Games,Minutes,Points,Rebounds,Assists,FG%,3P%,FT%,TS%,3P,3PAr,Efficiency Rating
Wilt Chamberlain*,24,79,3773,3033,2149,148,0.509,,0.504,0.519,,,27.8
LeBron James,24,81,3054,2304,613,587,0.489,0.344,0.780,0.591,132,0.238,31.7
Rick Barry*,,78,,2775,714,282,0.451,,0.884,0.531,,,24.2
Kevin Durant,23,66,2546,1850,527,231,0.496,0.387,0.860,0.610,133,0.265,26.2
Kareem Abdul-Jabbar*,23,,3288,,1311,,0.577,,0.690,0.606,,,29.0
Tiny Archibald*,24,80,3681,2719,223,910,0.488,,0.847,0.555,,,25.2
Bob McAdoo*,23,82,3539,2831,1155,179,0.512,,0.805,0.569,,,25.8
Russell Westbrook,26,67,2302,1886,488,574,0.426,0.299,0.835,0.536,86,0.196,29.1
Elgin Baylor*,28,80,3370,2719,1146,386,0.453,,0.837,0.519,,,26.6
Dirk Nowitzki,27,81,3089,2151,728,226,0.480,0.406,0.901,0.589,110,0.173,28.1
Moses Malone*,26,,3398,2520,1188,142,0.519,0.000,0.762,0.576,,,26.8
Wilt Chamberlain*,23,72,3338,2707,1941,168,0.461,,0.582,0.493, ,,28.0
Wilt Chamberlain*,29,79,3737,2649,1943,414,0.540,,0.513,0.547, ,,28.3
Wilt Chamberlain*,28,73,,2534,1673,250,0.510,,0.464,0.513,,,28.6
Wilt Chamberlain*,26,80,3806,3586,1946,275,0.528,,0.593,0.550, ,,31.8
Wilt Chamberlain*,27,80,3689,2948,1787,403,0.524,,0.531,0.537,,,31.6
Wilt Chamberlain*,25,80,3882,4029,2052,192,0.506,,0.613,0.536,,,31.7
Kareem Abdul-Jabbar*,,81,,2822,,370,0.574,,0.689,0.603, ,,29.9
LeBron James,28,76,2877,2036,610,551,0.565,0.406,0.753,0.640,103,0.188,31.6
Michael Jordan*,26,82,3197,2753,565,519,0.526,0.376,0.848,0.606,92,0.125,31.2
LeBron James,25,76,2966,2258,554,651,0.503,0.333,0.767,0.604,129,0.253,31.1
Dwyane Wade,27,79,3048,2386,398,589,0.491,0.317,0.765,0.574,88,0.160,30.4
Michael Jordan*,29,78,3067,2541,522,428,0.495,0.352,0.837,0.564,81,0.115,29.7
Tracy McGrady,,75,,2407,488,411,0.457,0.386,0.793,0.564,173,0.247,30.3
Michael Jordan*,32,82,3090,2491,543,352,0.495,0.427,0.834,0.582,111,0.141,29.4
LeBron James,29,77,2902,2089,533,488,0.567,0.379,0.750,0.649,116,0.226,29.3
LeBron James,23,75,3027,2250,592,539,0.484,0.315,0.712,0.568,113,0.219,29.1
Charles Barkley*,27,67,2498,1849,680,284,0.570,0.284,0.722,0.635,44,0.133,28.9
Kevin Durant,24,81,3119,2280,640,374,0.510,0.416,0.905,0.647,139,0.233,28.3
LeBron James,21,79,3361,2478,556,521,0.480,0.335,0.738,0.568,127,0.208,28.1
Dwyane Wade,28,77,2792,2045,373,501,0.476,0.300,0.761,0.562,73,0.161,28.0
Larry Bird*,31,76,2965,2275,703,467,0.527,0.414,0.916,0.608,98,0.142,27.8
Michael Jordan*,33,82,3106,2431,482,352,0.486,0.374,0.833,0.567,111,0.157,27.8
Charles Barkley*,24,80,3170,2264,951,254,0.587,0.280,0.751,0.665,44,0.122,27.6
Dirk Nowitzki,28,78,2820,1916,693,263,0.502,0.416,0.904,0.605,72,0.129,27.6
Russell Westbrook,27,80,2749,1878,626,834,0.454,0.296,0.812,0.554,101,0.236,27.6
LeBron James,31,76,2709,1920,565,514,0.520,0.309,0.731,0.588,87,0.199,27.5
LeBron James,26,79,3063,2111,590,554,0.510,0.330,0.759,0.594,92,0.188,27.3
Charles Barkley*,25,79,3088,2037,986,325,0.579,0.216,0.753,0.653,35,0.134,27.0
Larry Bird*,30,74,3005,2076,682,566,0.525,0.400,0.910,0.612,90,0.150,26.4
Kobe Bryant,24,82,3401,2461,564,481,0.451,0.383,0.843,0.550,124,0.168,26.2
Kevin Durant,21,82,3239,2472,623,231,0.476,0.365,0.900,0.607,128,0.210,26.2
Kobe Bryant,28,77,3140,2430,439,413,0.463,0.344,0.868,0.580,137,0.227,26.1
Dirk Nowitzki,26,78,3020,2032,757,240,0.459,0.399,0.869,0.578,91,0.158,26.1
Charles Barkley*,29,76,2859,1944,928,385,0.520,0.305,0.765,0.596,67,0.160,25.9
Allen Iverson*,30,72,3103,2377,232,532, , , ,,,0.122,25.9
LeBron James,20,80,3388,2175,588,577,0.472,0.351,0.750,0.554,108,0.183,25.7
Larry Bird*,29,82,3113,2115,805,557,0.496,0.423,0.896,0.580,82,0.121,25.6
Dirk Nowitzki,24,80,3117,2011,791,239,0.463,0.379,0.881,0.581,148,0.262,25.6
Dwyane Wade,29,76,2823,1941,485,346,0.500,0.306,0.758,0.581,63,0.149,25.6
Tracy McGrady,24,67,2675,1878,402,370,0.417,0.339,0.796,0.526,174,0.328,25.3
Tracy McGrady,22,76,2912,1948,597,400,0.451,0.364,0.748,0.532,103,0.178,25.1
Vince Carter,24,75,2979,2070,416,291,0.460,0.408,0.765,0.551,162,0.240,25.0
Carmelo Anthony,28,67,2482,1920,460,171,0.449,0.379,0.830,0.560,157,0.278,24.8
Dirk Nowitzki,29,77,2769,1817,659,266,0.479,0.359,0.879,0.585,79,0.167,24.6
Kobe Bryant,   ,68,2783,1938,399,338,0.464,0.305,0.853,0.552,61,0.132,24.5
Dominique Wilkins*,30,80,2888,2138,521,200,0.484,0.322,0.807,0.556,59,0.109,24.6
LeBron James,22,78,3190,2132,526,470,0.476,0.319,0.698,0.552,99,0.191,24.5
Carmelo Anthony,29,77,2982,2112,622,242,0.452,0.402,0.848,0.561,167,0.253,24.4
Kobe Bryant,30,82,2960,2201,429,399,0.467,0.351,0.856,0.561,118,0.196,24.4
Dominique Wilkins*,33,71,2647,2121,482,227,0.468,0.380,0.828,0.570,120,0.199,24.3
Kobe Bryant,29,82,3192,2323,517,441,0.459,0.361,0.840,0.576,150,0.246,24.2
Allen Iverson*,25,71,2979,2207,273,325,0.420,0.320,0.814,0.518,98,0.169,24.0
Kobe Bryant,32,82,2779,2078,419,388,0.451,0.323,0.828,0.548,115,0.217,23.9
Russell Westbrook,24,82,2861,1903,428,607,0.438,0.323,0.800,0.532,97,0.195,23.9
Dominique Wilkins*,31,81,,,,,0.470,0.341,0.829,0.555,85,0.152,23.5
Clyde Drexler*,29,76,2751,1903,500,512,0.470,0.337,0.794,0.560,114,0.229,23.6
Kevin Durant,22,78,3038,2161,533,214,0.462,0.350,0.880,0.589,145,0.269,23.6
Gary Payton*,31,82,3425,1982,529,732,0.448,0.340,0.735,0.535,177,0.312,23.6
Paul Pierce,28,79,3084,2116,530,375,0.471,0.354,0.772,0.582,111,0.215,23.6
James Harden,24,73,2777,1851,344,446,0.456,0.366,0.866,0.618,177,0.401,23.5
Derrick Rose,22,81,3026,2026,330,623,0.445,0.332,0.858,0.550,128,0.241,23.5
Vince Carter,23,82,3126,2107,476,322,0.465,0.403,0.791,0.543,95,0.139,23.4
Kobe Bryant,26,66,2689,1819,392,398,0.433,0.339,0.816,0.563,131,0.292,23.3
Allen Iverson*,29,75,3174,2302,299,596,0.424,0.308,0.835,0.532,104,0.186,23.2
Dirk Nowitzki,30,81,3050,2094,681,197,0.479,0.359,0.890,0.564,61,0.105,23.1
Kobe Bryant,34,78,3013,2133,433,469,0.463,0.324,0.839,0.570,132,0.255,23.0
James Harden,23,78,2985,2023,379,455,0.438,0.368,0.851,0.600,179,0.364,23.0
Vince Carter,28,77,2828,1886,401,327,0.452,0.406,0.798,0.541,127,0.203,22.9
Tracy McGrady,25,78,3182,2003,484,448,0.431,0.326,0.774,0.526,142,0.262,22.9
Gary Payton*,33,82,3301,1815,396,737,0.467,0.314,0.797,0.526,74,0.150,22.9
Chris Mullin*,26,78,2830,1956,463,319,0.536,0.372,0.889,0.643,87,0.184,22.7
Paul Pierce,25,79,3096,2048,578,349,0.416,0.302,0.802,0.532,118,0.246,22.7
Paul Pierce,23,82,3120,2071,522,253,0.454,0.383,0.745,0.563,147,0.254,22.3
Carmelo Anthony,25,69,2634,1943,454,222,0.458,0.316,0.830,0.548,59,0.125,22.2
Kevin Martin,27,eighty,2603,1876,258,198,0.436,0.383,0.888,0.601,176,0.362,21.4
Elgin Baylor*,,,3133,2538,1447,,0.430,,0.783,0.498, ,,28.2
Carmelo Anthony,22,65,2486,1881,391,249,0.476,0.268,0.808,0.552,40,0.103,22.1
Gary Payton*,32,79,3244,1823,361,642,0.456,0.375,0.766,0.522,102,0.171,22.1
Mark Aguirre,28,77,2610,1932,434,278,0.475,0.302,0.770,0.539,52,0.109,21.9
